Name,Start,End,Size
__dt__Q23std9exceptionFv,0x0010B9E0,0x0010B9E4,4
what__Q23std9exceptionCFv,0x0010BA30,0x0010BA3C,12
__nwa__FUi,0x0010BA40,0x0010BA44,4
__throw_catch_compare,0x0010BA60,0x0010BA61,1
terminate__3stdFv,0x0010BCD0,0x0010BCD8,8
dthandler__3stdFv,0x0010BD00,0x0010BD04,4
__register_global_object,0x0010BD20,0x0010BD44,36
__initialize_cpp_rts,0x0010BD50,0x0010BD54,4
__DecodeUnsignedNumber__FPcPUi,0x0010BDB0,0x0010BE50,160
__DecodeSignedNumber__FPcPi,0x0010BE50,0x0010BEF0,160
__end__catch,0x0010BEF0,0x0010BEF4,4
__ThrowHandler__FP12ThrowContext,0x0010BF30,0x0010BF34,4
FindExceptionHandler__FP12ThrowContextP13ExceptionInfoPl,0x0010C0C0,0x0010C0C4,4
FindMostRecentException__FP12ThrowContextP13ExceptionInfo,0x0010C3F0,0x0010C3F8,8
UnwindStack__FP12ThrowContextP13ExceptionInfoPc,0x0010C570,0x0010C574,4
NextAction__FP14ActionIterator,0x0010CDE0,0x0010CDE4,4
FindExceptionRecord__FPcP13ExceptionInfo,0x0010D100,0x0010D104,4
__TransferControl__FP12ThrowContextP13ExceptionInfoPc,0x0010D2C0,0x0010D2C1,1
__throw,0x0010D330,0x0010D338,8
__SkipUnwindInfo__FPc,0x0010D3B0,0x0010D3B4,4
__FindExceptionTable__FP13ExceptionInfoPc,0x0010D400,0x0010D420,32
__SetupFrameInfo__FP12ThrowContextP13ExceptionInfo,0x0010D420,0x0010D424,4
__PopStackFrame__FP12ThrowContextP13ExceptionInfo,0x0010D4D0,0x0010D4DC,12
insert__Q23std38__vector_pod<Ui,Q23std13allocator<Ui>>FPUiUiRCUi,0x0010D760,0x0010D764,4
__dt__Q23std12length_errorFv,0x0010DAD0,0x0010DAD4,4
__dt__Q23std11logic_errorFv,0x0010DB90,0x0010DB94,4
what__Q23std11logic_errorCFv,0x0010DC40,0x0010DC48,8
sceGsResetGraph,0x0010DC48,0x0010DC50,8
sceGsGetGParam,0x0010DDD8,0x0010DDE4,12
sceGsResetPath,0x0010DDE8,0x0010DE30,72
sceGsSetDefDispEnv,0x0010DE50,0x0010DE58,8
sceGsPutDispEnv,0x0010E0C0,0x0010E0C4,4
sceGszbufaddr,0x0010E180,0x0010E188,8
sceGsSetDefDrawEnv,0x0010E248,0x0010E250,8
sceGsSetDefClear,0x0010E430,0x0010E460,48
sceGsPutDrawEnv,0x0010E538,0x0010E540,8
sceGsSetDefDBuff,0x0010E620,0x0010E628,8
sceGsSwapDBuff,0x0010E8B8,0x0010E8BC,4
sceGsSyncV,0x0010E918,0x0010E91C,4
sceGsSyncPath,0x0010E9B0,0x0010ECB8,128
sceGsSetDefLoadImage,0x0010ECC8,0x0010ECF4,44
sceGsExecLoadImage,0x0010EEB0,0x0010EEB8,8
sceGsSyncVCallback,0x0010F030,0x0010F034,4
sceGsSetHalfOffset,0x0010F0D0,0x0010F0D1,1
memclr,0x0010F158,0x0010F18C,52
sceDmaGetChan,0x0010F190,0x0010F1B8,40
sceDmaReset,0x0010F1B8,0x0010F1C0,8
sceDmaDebug,0x0010F298,0x0010F2A8,16
sceDmaPutEnv,0x0010F2A8,0x0010F450,424
sceDmaGetEnv,0x0010F480,0x0010F488,8
sceDmaPutStallAddr,0x0010F4B8,0x0010F4E0,40
sceDmaSend,0x0010F4E0,0x0010F4E4,4
sceDmaSendN,0x0010F5B8,0x0010F5BC,4
sceDmaSendI,0x0010F6A0,0x0010F6A4,4
sceDmaRecv,0x0010F788,0x0010F78C,4
sceDmaRecvN,0x0010F850,0x0010F854,4
sceDmaRecvI,0x0010F940,0x0010F944,4
sceDmaSync,0x0010FA30,0x0010FA38,8
sceDmaWatch,0x0010FAF8,0x0010FB00,8
sceDmaPause,0x0010FBC8,0x0010FC10,72
sceDmaRestart,0x0010FC10,0x0010FC24,20
sceDevVu0CheckBusy,0x0010FC28,0x0010FC3C,20
sceDevVu0Reset,0x0010FC40,0x0010FC54,20
sceDevVu0Pause,0x0010FC58,0x0010FC5C,4
sceDevVu0Continue,0x0010FCB8,0x0010FCBC,4
sceDevVu0PutDBit,0x0010FD08,0x0010FD38,48
sceDevVu0PutTBit,0x0010FD38,0x0010FD68,48
sceDevVu0GetDBit,0x0010FD68,0x0010FD78,16
sceDevVu0GetTBit,0x0010FD78,0x0010FD88,16
sceDevVu0Sync,0x0010FD88,0x0010FDC8,64
sceDevVu0Exec,0x0010FDC8,0x0010FDD8,16
